,STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
10,Georgia,1125332,1187294,1304311,1353844,1390056,1445922,1596537,1623123,1681900,1716588,1729002,1791253.0,1846208.0,1975460.0,2102442.0,2032902.0,2182527.0,2208192.0,2152911.0,2279084.0,2470003.0,2709823.0,2731046.0,3205859.0,3338920.0,3452478.0,3038079.0,2897688.0,3163940.0,3213660.0,3276692.0,3423669.0,3517737.0,3605067.0,3725127.0,3901386.0,3910454.0,4081482.0,4215283.0,4335537.0,4317566.0,4478260.0,4610271.0,4599515.0,4613295.0,4816618.0,4840495.0,4966348.0,5063191.786,5315739.0,5471100.0,5550176.175582771,5833802.0,6012847.0,5757953.0,5793143.0,5939513.0,5906834.0,6134298.0,6257484.0,6315035.0,6507888.0,6505690.0,6581534.0,6607016.0,6650434.0,6906191.0,6975900.0,7060344.0,7168733.0,3.0
11,Hawaii,-,-,-,-,-,-,-,-,-,-,-,275750.0,291179.0,303422.0,319010.0,336659.0,362300.0,379600.0,392800.0,374616.0,462502.0,501179.0,523935.0,491805.0,475176.0,492310.0,517667.0,532356.0,534028.0,533891.0,536316.0,541543.0,534851.0,561346.0,575013.0,583452.0,593952.0,612101.0,628027.0,634880.0,657156.0,677626.0,699664.0,716545.0,734381.0,745392.0,732508.0,733486.0,738865.0,746329.0,752693.0,769383.0,787820.0,814668.0,834188.0,843876.0,856163.0,867375.0,862903.0,884767.0,889918.0,909407.0,911660.0,915033.0,915033.0,902639.0,909797.0,931703.0,951008.0,948417.0,2.0
12,Idaho,319956,350399,376987,346035,330488,349997,357325,369142,378378,391023,403473,420045.0,400505.0,394169.0,402143.0,413089.0,427291.0,419562.0,429233.0,473323.0,473704.0,484465.0,501100.0,508203.0,539340.0,553351.0,522944.0,600029.0,595292.0,587583.0,621864.0,631008.0,642702.0,663411.0,648108.0,669092.0,692404.0,684098.0,690893.0,707561.0,706472.0,704184.0,711662.0,720974.0,770403.0,800513.0,805911.0,819713.0,843891.0,862674.0,872825.0,883546.0,896666.0,907029.0,921283.0,942983.0,978450.0,1008016.0,1027502.0,1038314.0,1055269.0,1069542.0,1083992.0,1092977.0,1111485.0,1128497.0,1135009.0,1160922.0,1190367.0,1252535.0,2.0
13,Illinois,3886940,3994644,3791880,3969700,4219242,4170500,4254313,4489089,4586045,4533629,4538406,4564904.0,4585638.0,4647242.0,5228632.0,5441669.0,5596806.0,5820736.0,5801527.0,5971676.0,5689165.0,5752361.0,5903167.0,6003602.0,6124554.0,6299774.0,6389533.0,6548674.0,6741192.0,6853843.0,6929810.0,7002549.0,6863009.0,6964608.0,6984733.0,6685374.0,6949622.0,7093371.0,7186070.0,7262508.0,7205156.0,7294732.0,7359537.0,7410693.0,7462158.0,7502201.0,7210972.0,7609618.0,7691750.0,7700880.0,7925204.0,7961046.0,7809500.0,8033399.0,8054232.0,8057683.0,7870872.0,8071253.0,8190023.0,8260940.0,8301118.0,8373969.0,8373969.0,8235745.0,8261582.0,8373565.0,8462193.0,8514644.0,8529404.0,8714788.0,1.0
14,Indiana,2008680,1690355,1847155,1909608,2011444,2104550,2204688,2604020,2300572,2292818,2299373,2298352.0,2395947.0,2453097.0,2499735.0,2543110.0,2685940.0,2752313.0,2661091.0,2572598.0,2840439.0,2699127.0,2803665.0,2936579.0,2876539.0,3185040.0,3337783.0,3445290.0,3474158.0,3529895.0,3591167.0,3631457.0,3495306.0,3345254.0,3550785.0,3574337.0,3597585.0,3761193.0,3590173.0,3773008.0,3838030.0,3601354.0,3453186.0,3800436.0,3790781.0,3860329.0,3706182.0,3704156.0,3923614.0,3976241.0,3856177.0,3976241.0,4116924.0,4221123.0,4536205.0,4521329.0,4246189.0,4246189.0,4308845.0,5550469.0,5550469.0,5550469.0,6569665.0,5375973.0,4500403.0,4448099.0,4467848.0,4553259.0,4553584.0,4589405.0,1.0
15,Iowa,1490445,1473892,1421409,1313307,1336214,1352066,1365395,1396833,1403514,1452967,1470814,1458038.0,1470674.0,1476392.0,1474980.0,1498703.0,1517455.0,1552569.0,1584015.0,1597635.0,1632757.0,1678262.0,1688591.0,1727257.0,1780781.0,1843033.0,1883513.0,1959216.0,1984650.0,2021520.0,2106066.0,2106608.0,2122000.0,1926852.0,1928799.0,1927018.0,1900998.0,1883849.0,1842538.0,1886950.0,1921629.0,1872486.0,1856650.0,1858605.0,1899430.0,1896518.0,1905450.0,1955601.0,1952935.0,1950374.0,1935201.0,1952508.0,1978748.0,1992803.0,1977909.0,2003723.0,2033417.0,2040873.0,2093649.0,1989663.0,2145333.0,2166759.0,2191715.0,2217304.0,2143665.0,2227950.0,2224130.0,2245640.0,2246829.0,2260271.0,1.0
16,Kansas,1206847,1155918,1144254,1187913,1278250,1257969,1315646,1350830,1318248,1348365,1394137,1406670.0,1416000.0,1291960.0,1324862.0,1361274.0,1355147.0,1363697.0,1409730.0,1395788.0,1436194.0,1453075.0,1495889.0,1564697.0,1593442.0,1641506.0,1671609.0,1718246.0,1768749.0,1778369.0,1851585.0,1675438.0,1680099.0,1693782.0,1681197.0,1691552.0,1655820.0,1651608.0,1678418.0,1705869.0,1703798.0,1714507.0,1780520.0,1691883.0,1774036.0,1771566.0,1770786.0,1788259.0,1824944.0,1851449.0,1892478.0,1908117.0,1871301.0,1935361.0,1987251.0,1979746.0,1974238.0,2003112.0,2018219.0,2021905.0,2045426.0,2033092.0,2025581.0,2018029.0,2017759.0,2021271.0,2028657.0,2030025.0,2029869.0,2149430.0,1.0
17,Kentucky,842214,921721,953432,1000200,1059739,1137155,1138038,1180000,1202226,1183646,1250256,1253649.0,1280113.0,1334964.0,1401459.0,1472108.0,1353027.0,1382505.0,1441985.0,1476588.0,1571788.0,1609191.0,1626355.0,1683984.0,1722322.0,1742084.0,1872766.0,1956937.0,1993756.0,2037552.0,2067777.0,2055297.0,2147255.0,2141104.0,2192567.0,2249177.0,2248381.0,2298441.0,2338005.0,2367574.0,2392052.0,2401661.0,2413670.0,2457118.0,2468992.0,2516408.0,2535463.0,2566545.0,2574662.0,2640335.0,2660468.0,2694469.0,2756634.0,2772674.0,2799635.0,2823454.0,2860729.0,2896460.0,2933266.0,2932659.0,2939423.0,2950191.0,2959881.0,2985234.0,3019283.0,3004919.0,3021266.0,3031447.0,3019008.0,3032530.0,3.0
18,Louisiana,729326,850569,854139,890015,1018539,979721,1063722,1161389,1172626,1251675,1274574,1308427.0,1321035.0,1362622.0,1358046.0,1463826.0,1537304.0,1594848.0,1621822.0,1676969.0,1723203.0,1781620.0,1812868.0,1916845.0,2015999.0,2033227.0,2121973.0,2152850.0,2223033.0,2258857.0,2291000.0,2259417.0,2405698.0,2539776.0,2767356.0,2830287.0,2755943.0,2700790.0,2614425.0,2597965.0,2573954.0,2575460.0,2594762.0,2616830.0,2576701.0,2594615.0,2593509.0,2624131.0,2677845.0,2736305.0,2762571.0,2759120.0,2718209.0,3168238.0,3119960.0,3169627.0,3083516.0,3014191.0,3033966.0,2998162.0,3086004.0,3133631.0,3186227.0,2923744.0,3278143.0,3312630.0,3357091.0,3395095.0,3425656.0,3425435.0,3.0
19,Maine,325988,338355,349163,357859,369477,377489,391231,406246,422004,425547,442410,445731.0,454065.0,456549.0,463465.0,464258.0,505229.0,474068.0,484748.0,490659.0,496633.0,513388.0,539720.0,556881.0,595478.0,650462.0,627962.0,647359.0,667681.0,683290.0,702490.0,729893.0,752553.0,757264.0,770240.0,790623.0,803830.0,817928.0,870716.0,866728.0,886912.0,887042.0,888963.0,917944.0,905533.0,913597.0,864447.0,873713.0,900843.83775,912506.0,911704.0,920235.0,942556.0,948748.0,932455.0,984829.0,1003972.0,1005160.0,1009780.0,1006057.0,1013533.0,1019738.0,1014826.0,1008190.0,1011385.0,1018918.0,1019879.0,1021332.0,1032703.0,1040582.0,0.0
